org_id,supplier_name,name_with_id
1384,Las Virgenes Mwd,Las Virgenes Mwd - 1384
1370,"Lakewood - City, Water Department","Lakewood - City, Water Department - 1370"
1873,Pasadena Water And Power,Pasadena Water And Power - 1873
1484,Los Angeles Cwwd 40 Reg 4 & 34 Lancaster,Los Angeles Cwwd 40 Reg 4 & 34 Lancaster - 1484
4993,Santa Clarita Valley W.a. - Castaic Div,Santa Clarita Valley W.a. - Castaic Div - 4993
4993,Santa Clarita Valley W.a. - Pinetree Div,Santa Clarita Valley W.a. - Pinetree Div - 4993
1484,"Los Angeles Cwwd 40, R 24,27,33 - Pearblsm","Los Angeles Cwwd 40, R 24,27,33 - Pearblsm - 1484"
155,Bear Valley Community Services District,Bear Valley Community Services District - 155
2119,Rubio Canon Land & Water Association,Rubio Canon Land & Water Association - 2119
66,City Of Anderson,City Of Anderson - 66
1484,"Los Angeles Cwwd 40, Reg. 38 - Lake La","Los Angeles Cwwd 40, Reg. 38 - Lake La - 1484"
2618,Valley Water Co,Valley Water Co - 2618
4993,Santa Clarita Valley W.a. - Newhall Div,Santa Clarita Valley W.a. - Newhall Div - 4993
1731,Nipomo Comm Services District,Nipomo Comm Services District - 1731
1425,Lincoln Avenue Water Co,Lincoln Avenue Water Co - 1425
378,City Of California City,City Of California City - 378
1645,Montecito Water District,Montecito Water District - 1645
2679,West Kern Water District,West Kern Water District - 2679
2487,"Torrance - City, Water Department","Torrance - City, Water Department - 2487"
87,Liberty Utilities Av Ranchos Corporation,Liberty Utilities Av Ranchos Corporation - 87
2323,City Of Soledad,City Of Soledad - 2323
890,City Of Fillmore Water Department,City Of Fillmore Water Department - 890
443,City Of Camarillo Water Department,City Of Camarillo Water Department - 443
2766,City Of Woodland,City Of Woodland - 2766
678,City Of Davis,City Of Davis - 678
198,Big Bear Shores Rv Resort,Big Bear Shores Rv Resort - 198
2444,Tahoe City Public Utility District - Tahoe Cedars,Tahoe City Public Utility District - Tahoe Cedars - 2444
1730,City Of Newport Beach,City Of Newport Beach - 1730
967,City Of Fullerton,City Of Fullerton - 967
1927,Placer Cwa - Monte Vista,Placer Cwa - Monte Vista - 1927
1927,Placer Cwa - Applegate,Placer Cwa - Applegate - 1927
1927,Placer Cwa - Alta,Placer Cwa - Alta - 1927
1927,Placer Cwa - Colfax,Placer Cwa - Colfax - 1927
863,City Of Exeter,City Of Exeter - 863
2031,City Of Red Bluff,City Of Red Bluff - 2031
737,City Of Dinuba,City Of Dinuba - 737
1956,City Of Porterville,City Of Porterville - 1956
427,Cws - Mullen Water Company,Cws - Mullen Water Company - 427
1432,City Of Lindsay,City Of Lindsay - 1432
2516,City Of Tulare,City Of Tulare - 2516
427,Cws - Visalia,Cws - Visalia - 427
1877,City Of Patterson,City Of Patterson - 1877
2751,Town Of Windsor,Town Of Windsor - 2751
522,City Of Ceres,City Of Ceres - 522
2524,City Of Turlock,City Of Turlock - 2524
2224,City Of Santa Rosa,City Of Santa Rosa - 2224
2697,Western Mwd Id A - Rainbow,Western Mwd Id A - Rainbow - 2697
1626,Palm Springs Crest,Palm Springs Crest - 1626
1626,West Palm Springs Village,West Palm Springs Village - 1626
904,City Of Folsom Ashland,City Of Folsom Ashland - 904
388,Cal - Water Service Co. - Hamilton City,Cal - Water Service Co. - Hamilton City - 388
2490,Trabuco Canyon Water District,Trabuco Canyon Water District - 2490
1327,City Of La Palma,City Of La Palma - 1327
2334,South Coast Water District,South Coast Water District - 2334
924,City Of Fountain Valley,City Of Fountain Valley - 924
2159,City Of San Clemente,City Of San Clemente - 2159
283,City Of Buena Park,City Of Buena Park - 283
1797,City Of Orange,City Of Orange - 1797
2111,City Of Roseville,City Of Roseville - 2111
64,City Of Anaheim,City Of Anaheim - 64
1245,Irvine Ranch Water District,Irvine Ranch Water District - 1245
55,"Awa, Ione","Awa, Ione - 55"
55,"Awa, Tanner","Awa, Tanner - 55"
794,Eastern Municipal Water District,Eastern Municipal Water District - 794
2697,Western Mwd - Murrieta Division,Western Mwd - Murrieta Division - 2697
2179,San Juan Water District,San Juan Water District - 2179
129,City Of Banning,City Of Banning - 129
1324,City Of La Habra,City Of La Habra - 1324
866,Fair Oaks Water District,Fair Oaks Water District - 866
1352,Lake Hemet Mwd,Lake Hemet Mwd - 1352
159,Beaumont Cherry Valley Water District,Beaumont Cherry Valley Water District - 159
2697,Western Mwd,Western Mwd - 2697
1273,Jurupa Community Services District,Jurupa Community Services District - 1273
842,Elsinore Valley Mwd,Elsinore Valley Mwd - 842
1215,City Of Huntington Beach,City Of Huntington Beach - 1215
55,Awa Buckhorn Plant,Awa Buckhorn Plant - 55
2466,Thermalito Water & Sewer District,Thermalito Water & Sewer District - 2466
412,Cal - Water Service Co. - Oroville,Cal - Water Service Co. - Oroville - 412
699,Del Oro Water Co. - Paradise Pines,Del Oro Water Co. - Paradise Pines - 699
739,Town Of Discovery Bay,Town Of Discovery Bay - 739
2337,South Feather W&P - Miners Ranch,South Feather W&P - Miners Ranch - 2337
1443,City Of Livermore,City Of Livermore - 1443
1554,City Of Martinez,City Of Martinez - 1554
1859,Paradise Irrigation District,Paradise Irrigation District - 1859
1925,City Of Pittsburg,City Of Pittsburg - 1925
401,California Water Service - Livermore,California Water Service - Livermore - 401
759,Dublin San Ramon Services District,Dublin San Ramon Services District - 759
1940,City Of Pleasanton,City Of Pleasanton - 1940
